/c0 X,/c0 Y,/p0 X,/p0 Y,/g1 X,/g1 Y,/p1 X,/p1 Y,/g2 X,/g2 Y,/p2 X,/p2 Y,/g3 X,/g3 Y,/p3 X,/p3 Y,/c4 X,/c4 Y,/c3 X,/c3 Y,/c2 X,/c2 Y,/c1 X,/c1 Y,/g0 X,/g0 Y
1.500025785930137e-08,1,1.500025785930137e-08,1,1.500025785930137e-08,0,1.500025785930137e-08,0,1.500025785930137e-08,1,1.500025785930137e-08,0,1.500025785930137e-08,0,1.500025785930137e-08,0,1.500025785930137e-08,9.571692255414202e-05,1.500025785930137e-08,0.0005899361632560212,1.500025785930137e-08,1.166656156432446e-06,1.500025785930137e-08,0.0002540140478364296,1.500025785930137e-08,0
1.500026174300187e-08,1,1.500026174300187e-08,1,1.500026174300187e-08,0,1.500026174300187e-08,0,1.500026174300187e-08,1,1.500026174300187e-08,0,1.500026174300187e-08,0,1.500026174300187e-08,0,1.500026174300187e-08,9.73136547698716e-05,1.500026174300187e-08,0.0005992099963614214,1.500026174300187e-08,1.184232468100763e-06,1.500026174300187e-08,0.0002575670358147692,1.500026174300187e-08,0
1.500026951040288e-08,1,1.500026951040288e-08,1,1.500026951040288e-08,0,1.500026951040288e-08,0,1.500026951040288e-08,1,1.500026951040288e-08,0,1.500026951040288e-08,0,1.500026951040288e-08,0,1.500026951040288e-08,0.000100566774537592,1.500026951040288e-08,0.0006193484392100768,1.500026951040288e-08,1.219997042250848e-06,1.500026951040288e-08,0.0002647841451901016,1.500026951040288e-08,0
1.500027093651853e-08,1,1.500027093651853e-08,1,1.500027093651853e-08,0,1.500027093651853e-08,0,1.500027093651853e-08,1,1.500027093651853e-08,0,1.500027093651853e-08,0,1.500027093651853e-08,0,1.500027093651853e-08,0.0001011737657469038,1.500027093651853e-08,0.000623336833843022,1.500027093651853e-08,1.226667617840613e-06,1.500027093651853e-08,0.0002661280943808943,1.500027093651853e-08,0
1.500027378874983e-08,1,1.500027378874983e-08,1,1.500027378874983e-08,0,1.500027378874983e-08,0,1.500027378874983e-08,1,1.500027378874983e-08,0,1.500027378874983e-08,0,1.500027378874983e-08,0,1.500027378874983e-08,0.0001023935860607895,1.500027378874983e-08,0.0006316801671937273,1.500027378874983e-08,1.24009981773981e-06,1.500027378874983e-08,0.0002688568414947545,1.500027378874983e-08,0
1.500027796180325e-08,1,1.500027796180325e-08,1,1.500027796180325e-08,0,1.500027796180325e-08,0,1.500027796180325e-08,1,1.500027796180325e-08,0,1.500027796180325e-08,0,1.500027796180325e-08,0,1.500027796180325e-08,0.0001041746750393443,1.500027796180325e-08,0.0006443215332882316,1.500027796180325e-08,1.259795265343488e-06,1.500027796180325e-08,0.0002729320483098882,1.500027796180325e-08,0
1.500028210094635e-08,1,1.500028210094635e-08,1,1.500028210094635e-08,0,1.500028210094635e-08,0,1.500028210094635e-08,1,1.500028210094635e-08,0,1.500028210094635e-08,0,1.500028210094635e-08,0,1.500028210094635e-08,0.0001059232462089938,1.500028210094635e-08,0.0006550481773612073,1.500028210094635e-08,1.279140733701566e-06,1.500028210094635e-08,0.0002770299077165261,1.500028210094635e-08,0
1.500028318164194e-08,1,1.500028318164194e-08,1,1.500028318164194e-08,0,1.500028318164194e-08,0,1.500028318164194e-08,1,1.500028318164194e-08,0,1.500028318164194e-08,0,1.500028318164194e-08,0,1.500028318164194e-08,0.0001063766659207475,1.500028318164194e-08,0.0006571040711196264,1.500028318164194e-08,1.284141442893599e-06,1.500028318164194e-08,0.0002781075112571604,1.500028318164194e-08,0
1.500028534303312e-08,1,1.500028534303312e-08,1,1.500028534303312e-08,0,1.500028534303312e-08,0,1.500028534303312e-08,1,1.500028534303312e-08,0,1.500028534303312e-08,0,1.500028534303312e-08,0,1.500028534303312e-08,0.0001072839837992283,1.500028534303312e-08,0.0006596968979600581,1.500028534303312e-08,1.294108244874298e-06,1.500028534303312e-08,0.0002802761026309091,1.500028534303312e-08,0
1.500028901300707e-08,1,1.500028901300707e-08,1,1.500028901300707e-08,0,1.500028901300707e-08,0,1.500028901300707e-08,1,1.500028901300707e-08,0,1.500028901300707e-08,0,1.500028901300707e-08,0,1.500028901300707e-08,0.0001088296941085383,1.500028901300707e-08,0.0006607658547571957,1.500028901300707e-08,1.311042167480807e-06,1.500028901300707e-08,0.0002839978552574135,1.500028901300707e-08,0
1.500029028430112e-08,1,1.500029028430112e-08,1,1.500029028430112e-08,0,1.500029028430112e-08,0,1.500029028430112e-08,1,1.500029028430112e-08,0,1.500029028430112e-08,0,1.500029028430112e-08,0,1.500029028430112e-08,0.0001093674133510394,1.500029028430112e-08,0.0006605277629639382,1.500029028430112e-08,1.316929052301078e-06,1.500029028430112e-08,0.000285298407957804,1.500029028430112e-08,0
1.500029282688924e-08,1,1.500029282688924e-08,1,1.500029282688924e-08,0,1.500029282688924e-08,0,1.500029282688924e-08,1,1.500029282688924e-08,0,1.500029282688924e-08,0,1.500029282688924e-08,0,1.500029282688924e-08,0.0001104487688316286,1.500029282688924e-08,0.0006598877183107347,1.500029282688924e-08,1.328763097957194e-06,1.500029282688924e-08,0.0002879170070981546,1.500029282688924e-08,0
1.500029791206548e-08,1,1.500029791206548e-08,1,1.500029791206548e-08,0,1.500029791206548e-08,0,1.500029791206548e-08,1,1.500029791206548e-08,0,1.500029791206548e-08,0,1.500029791206548e-08,0,1.500029791206548e-08,0.000112636067726037,1.500029791206548e-08,0.0006584836693111589,1.500029791206548e-08,1.352716539683762e-06,1.500029791206548e-08,0.0002932245513860078,1.500029791206548e-08,0
1.500030808241795e-08,1,1.500030808241795e-08,1,1.500030808241795e-08,0,1.500030808241795e-08,0,1.500030808241795e-08,1,1.500030808241795e-08,0,1.500030808241795e-08,0,1.500030808241795e-08,0,1.500030808241795e-08,0.0001171145664721102,1.500030808241795e-08,0.0006558275462675471,1.500030808241795e-08,1.401802064054625e-06,1.500030808241795e-08,0.0003041316651094117,1.500030808241795e-08,0
1.500032842312289e-08,1,1.500032842312289e-08,1,1.500032842312289e-08,0,1.500032842312289e-08,0,1.500032842312289e-08,1,1.500032842312289e-08,0,1.500032842312289e-08,0,1.500032842312289e-08,0,1.500032842312289e-08,0.0001265449708857638,1.500032842312289e-08,0.0006513497180668953,1.500032842312289e-08,1.505147308676106e-06,1.500032842312289e-08,0.0003271337210059978,1.500032842312289e-08,0
1.500036910453277e-08,1,1.500036910453277e-08,1,1.500036910453277e-08,0,1.500036910453277e-08,0,1.500036910453277e-08,1,1.500036910453277e-08,0,1.500036910453277e-08,0,1.500036910453277e-08,0,1.500036910453277e-08,0.0001476622168647599,1.500036910453277e-08,0.0006460038230668042,1.500036910453277e-08,1.736533303843066e-06,1.500036910453277e-08,0.0003786568647920267,1.500036910453277e-08,0
1.500042517683906e-08,1,1.500042517683906e-08,1,1.500042517683906e-08,0,1.500042517683906e-08,0,1.500042517683906e-08,1,1.500042517683906e-08,0,1.500042517683906e-08,0,1.500042517683906e-08,0,1.500042517683906e-08,0.0001820256770339078,1.500042517683906e-08,0.0006467566338824093,1.500042517683906e-08,2.112804617577144e-06,1.500042517683906e-08,0.0004680298656575093,1.500042517683906e-08,0
1.500043522967386e-08,1,1.500043522967386e-08,1,1.500043522967386e-08,0,1.500043522967386e-08,0,1.500043522967386e-08,1,1.500043522967386e-08,0,1.500043522967386e-08,0,1.500043522967386e-08,0,1.500043522967386e-08,0.0001886440557216959,1.500043522967386e-08,0.0006476844011777909,1.500043522967386e-08,2.185408859077755e-06,1.500043522967386e-08,0.0004865489383492909,1.500043522967386e-08,0
