/in X,/in Y,/output X,/output Y
2.00494166438672e-08,0.4941664386719752,2.00494166438672e-08,1.014512274617161
2.005391101777878e-08,0.5391101777878128,2.005391101777878e-08,1.003399811292955
2.005819232932942e-08,0.5819232932941876,2.005819232932942e-08,0.9726767469425925
2.006308082208405e-08,0.6308082208404607,2.006308082208405e-08,0.8931134586128818
2.00672631345449e-08,0.6726313454490139,2.00672631345449e-08,0.7735229261425267
2.007173123585367e-08,0.7173123585366645,2.007173123585367e-08,0.581452398456004
2.007649623075888e-08,0.7649623075887602,2.007649623075888e-08,0.314572319678449
2.007857035955477e-08,0.7857035955476468,2.007857035955477e-08,0.1911546545611191
2.007935334146862e-08,0.7935334146861753,2.007935334146862e-08,0.1480160707773945
2.008091930529632e-08,0.8091930529632325,2.008091930529632e-08,0.08195295767488976
2.008231762947107e-08,0.823176294710678,2.008231762947107e-08,0.04806160590247156
2.008396604501149e-08,0.8396604501149133,2.008396604501149e-08,0.02662141636837545
2.008564784342681e-08,0.8564784342680858,2.008564784342681e-08,0.01551030664247734
2.008751869682601e-08,0.8751869682600637,2.008751869682601e-08,0.009493827057448084
2.008987826409702e-08,0.8987826409701504,2.008987826409702e-08,0.006391076032994739
2.009293637112663e-08,0.929363711266246,2.009293637112663e-08,0.005060326874476166
2.009689551721068e-08,0.9689551721067609,2.009689551721068e-08,0.004490302931166316
2.01e-08,1,2.01e-08,0.004215946512297878
2.010009701508717e-08,1,2.010009701508717e-08,0.003972798716570784
2.01002910452615e-08,1,2.01002910452615e-08,0.003507155911982723
2.010067910561017e-08,1,2.010067910561017e-08,0.002729601847214217
2.01014552263075e-08,1,2.01014552263075e-08,0.00164088000044702
2.010300746770217e-08,1,2.010300746770217e-08,0.0005492958412466631
2.01061119504915e-08,1,2.01061119504915e-08,6.510886497716413e-07
2.011024964854949e-08,1,2.011024964854949e-08,-4.813718013466171e-06
2.011648009612322e-08,1,2.011648009612322e-08,1.863706160445322e-06
2.012759237729956e-08,1,2.012759237729956e-08,-1.021046732708445e-06
2.014981693965222e-08,1,2.014981693965222e-08,8.366756187966185e-07
2.019426606435754e-08,1,2.019426606435754e-08,-6.779243985751157e-07
2.028316431376819e-08,1,2.028316431376819e-08,6.941278211837273e-07
2.046096081258948e-08,1,2.046096081258948e-08,-6.127807938851492e-07
2.081655381023207e-08,1,2.081655381023207e-08,6.629689148674807e-07
2.152773980551724e-08,1,2.152773980551724e-08,-5.975407119013394e-07
2.232773980551724e-08,1,2.232773980551724e-08,6.53493914793998e-07
2.312773980551725e-08,1,2.312773980551725e-08,-5.886966438985814e-07
