/output X,/output Y,/b X,/b Y,/a X,/a Y
1.515030200996423e-08,0.9127291547409466,1.515030200996423e-08,0,1.515030200996423e-08,1
1.515037307113228e-08,0.9137121142985869,1.515037307113228e-08,0,1.515037307113228e-08,1
1.515051519346839e-08,0.9156444272438601,1.515051519346839e-08,0,1.515051519346839e-08,1
1.51507994381406e-08,0.9193788024007963,1.51507994381406e-08,0,1.51507994381406e-08,1
1.515136792748503e-08,0.9263566595932046,1.515136792748503e-08,0,1.515136792748503e-08,1
1.515250490617389e-08,0.9385623109554182,1.515250490617389e-08,0,1.515250490617389e-08,1
1.515477886355161e-08,0.9573476216524713,1.515477886355161e-08,0,1.515477886355161e-08,1
1.515870073355967e-08,0.9775860775428187,1.515870073355967e-08,0,1.515870073355967e-08,1
1.516314142855134e-08,0.9893239848070182,1.516314142855134e-08,0,1.516314142855134e-08,1
1.516837365208038e-08,0.9956447238899405,1.516837365208038e-08,0,1.516837365208038e-08,1
1.517458144866943e-08,0.9985516888182285,1.517458144866943e-08,0,1.517458144866943e-08,1
1.518256852414007e-08,0.9996772484805829,1.518256852414007e-08,0,1.518256852414007e-08,1
1.519335263948527e-08,0.9999976523741498,1.519335263948527e-08,0,1.519335263948527e-08,1
1.520911322608699e-08,0.9999995095139775,1.520911322608699e-08,0,1.520911322608699e-08,1
1.52359289086926e-08,1.00000053510566,1.52359289086926e-08,0,1.52359289086926e-08,1
1.528642644106568e-08,0.999999406166824,1.528642644106568e-08,0,1.528642644106568e-08,1
1.538742150581184e-08,1.000000562670991,1.538742150581184e-08,0,1.538742150581184e-08,1
1.558941163530417e-08,0.9999994135286341,1.558941163530417e-08,0,1.558941163530417e-08,1
